"fipstate","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000","censtate"
"72","48851/",,1725,7981,34409,75,"D",0,0,0,24,,147,933,4054,23,,173,984,4218,13,,221,1637,6765,8,,223,1037,4483,3,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","488510",,1725,7981,34409,75,"D",0,0,0,24,,147,933,4054,23,,173,984,4218,13,,221,1637,6765,8,,223,1037,4483,3,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","4889//","B",0,0,0,5,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","48899/","B",0,0,0,5,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","488991","B",0,0,0,5,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","492///",,942,6286,26039,44,"D",0,0,0,26,"D",0,0,0,4,,63,563,2245,4,"D",0,0,0,6,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","4921//",,849,6001,24747,30,"D",0,0,0,15,"D",0,0,0,3,,63,563,2245,4,"D",0,0,0,5,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","49211/",,849,6001,24747,30,"D",0,0,0,15,"D",0,0,0,3,,63,563,2245,4,"D",0,0,0,5,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","492110",,849,6001,24747,30,"D",0,0,0,15,"D",0,0,0,3,,63,563,2245,4,"D",0,0,0,5,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","4922//",,93,285,1292,14,"D",0,0,0,11,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","49221/",,93,285,1292,14,"D",0,0,0,11,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","492210",,93,285,1292,14,"D",0,0,0,11,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","493///",,2499,12266,54499,84,"D",0,0,0,26,,123,773,3599,19,,155,685,2895,12,,304,1466,6930,11,,806,4082,17894,11,"D",0,0,0,4,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","4931//",,2499,12266,54499,84,"D",0,0,0,26,,123,773,3599,19,,155,685,2895,12,,304,1466,6930,11,,806,4082,17894,11,"D",0,0,0,4,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
