"uscode","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","51332/",,216769,2841373,10418015,11079,,9428,88692,438192,5248,,19213,188191,735535,2876,,20242,220758,859182,1545,,23815,309266,1143386,800,,19932,307167,1137982,283,,25620,388224,1467088,167,,26736,442848,1408111,74,"D",0,0,0,66,"D",0,0,0,20
"98","513321",,42604,508541,1709268,2832,,2784,21978,116657,1534,,3763,29149,109568,575,,4808,38638,146560,362,,6423,64050,232728,218,,4971,57630,207914,74,,6100,64214,234490,39,,8117,163959,429364,22,"D",0,0,0,7,"D",0,0,0,1
"98","513322",,174165,2332832,8708747,8247,,6644,66714,321535,3714,,15450,159042,625967,2301,,15434,182120,712622,1183,,17392,245216,910658,582,,14961,249537,930068,209,,19520,324010,1232598,128,,18619,278889,978747,52,,40198,507284,1868405,59,,25947,320020,1128147,19
"98","51333/",,49808,704502,2666336,3060,,2690,36160,184065,1812,,3235,35900,135028,488,,4500,50431,203133,331,,7787,111672,402932,253,,6783,92887,354706,98,,7441,101865,351988,50,,5373,74539,286278,16,,3929,64852,253396,7,,8070,136196,494810,5
"98","513330",,49808,704502,2666336,3060,,2690,36160,184065,1812,,3235,35900,135028,488,,4500,50431,203133,331,,7787,111672,402932,253,,6783,92887,354706,98,,7441,101865,351988,50,,5373,74539,286278,16,,3929,64852,253396,7,,8070,136196,494810,5
"98","51334/",,16001,275054,1052506,746,,584,8088,43098,427,,667,8052,30305,100,,1088,15235,53075,80,,2272,38951,147918,71,"D",0,0,0,36,,3935,80158,260887,24,,1301,18998,69333,4,"D",0,0,0,3,"D",0,0,0,1
"98","513340",,16001,275054,1052506,746,,584,8088,43098,427,,667,8052,30305,100,,1088,15235,53075,80,,2272,38951,147918,71,"D",0,0,0,36,,3935,80158,260887,24,,1301,18998,69333,4,"D",0,0,0,3,"D",0,0,0,1
"98","51339/",,13417,229521,848062,1015,,989,11810,49408,697,,861,9823,38169,127,,1239,18439,62688,93,,1878,27721,97521,66,"D",0,0,0,13,,1921,29514,106698,11,,2308,34826,121995,6,"D",0,0,0,1,"D",0,0,0,1
"98","513390",,13417,229521,848062,1015,,989,11810,49408,697,,861,9823,38169,127,,1239,18439,62688,93,,1878,27721,97521,66,"D",0,0,0,13,,1921,29514,106698,11,,2308,34826,121995,6,"D",0,0,0,1,"D",0,0,0,1
"98","514///",,539337,7848679,28172534,24280,,20950,252139,1174472,13803,,24063,263262,978004,3651,,37006,432436,1656225,2737,,68028,859072,3224939,2220,,60073,866336,3106376,860,,100277,1408324,5286990,648,,77290,1177255,4183225,224,,61647,800486,2898773,94,,90003,1789369,5663530,43
