"98","114111",,4301,932
"98","1142//",,2707,418
"98","11421/",,2707,418
"98","114210",,2707,418
"98","115111",,3226,272
"98","115113",,3677,345
"98","115114",,28341,696
"98","115115",,6826,323
"98","115116",,4509,670
"98","212111",,32924,276
"98","212311",,3711,319
"98","212312",,26234,649
"98","212313",,6774,63
"98","212319",,8380,292
"98","221112",,78790,691
"98","23493/",,91921,281
"98","234930",,91921,281
"98","3111//",,47012,861
"98","31111/",,47012,861
"98","311111",,13491,114
"98","311119",,33521,747
"98","311225",,7201,29
"98","31123/",,12949,17
"98","311230",,12949,17
"98","31134/",,24284,449
"98","311340",,24284,449
"98","3114//",,158905,663
"98","311511",,56617,142
"98","31152/",,19105,214
"98","311520",,19105,214
"98","311612",,100273,579
"98","311813",,15755,76
"98","31191/",,45630,169
"98","311911",,10183,52
"98","311919",,35447,117
"98","31192/",,11423,162
"98","311920",,11423,162
"98","31193/",,5625,88
"98","311930",,5625,88
"98","31194/",,27331,271
"98","31199/",,59859,610
"98","311991",,23967,260
"98","311999",,35892,350
"98","312111",,63889,145
"98","312113",,5416,380
"98","31212/",,30761,259
"98","312120",,30761,259
"98","31213/",,26832,962
"98","312130",,26832,962
"98","313111",,36918,112
"98","313113",,2612,80
"98","31321/",,87391,442
"98","313210",,87391,442
"98","31322/",,14746,279
"98","313221",,12742,141
"98","313222",,2004,138
"98","31323/",,17934,71
"98","313230",,17934,71
"98","313241",,10163,64
"98","313311",,32701,832
"98","31411/",,44438,257
"98","314110",,44438,257
"98","314129",,40429,392
"98","315211",,20849,570
"98","31522/",,70789,355
"98","315225",,12032,46
"98","315231",,10629,57
"98","315232",,11386,155
"98","315233",,14115,313
"98","315234",,6668,98
"98","315239",,29621,380
"98","31529/",,14562,371
"98","315291",,1236,14
"98","315292",,1794,184
"98","315299",,11532,173
"98","315991",,9933,166
"98","3161//",,9274,222
"98","31611/",,9274,222
"98","316110",,9274,222
"98","321211",,20946,119
"98","321214",,39133,230
"98","321911",,69060,801
"98","321912",,36349,784
"98","32221/",,188637,492
"98","322211",,117404,284
"98","322213",,4971,37
"98","322215",,14088,10
"98","322222",,36573,205
"98","32223/",,39077,247
"98","322291",,19186,32
"98","323112",,28983,382
"98","323117",,44245,326
"98","323118",,13345,93
"98","3254//",,237905,737
"98","32541/",,237905,737
"98","325411",,22496,208
"98","325412",,144577,346
"98","325413",,42239,86
"98","325414",,28593,97
"98","325611",,25983,557
"98","325612",,20751,428
"98","325613",,7301,79
"98","32562/",,56647,482
"98","325620",,56647,482
"98","32611/",,100385,474
"98","326111",,35891,127
"98","326112",,15190,32
"98","326113",,49304,315
"98","326121",,25514,294
"98","32613/",,12910,234
"98","326130",,12910,234
"98","326291",,49038,219
"98","32711/",,33866,763
"98","327111",,8437,22
"98","327112",,16997,692
"98","327113",,8432,49
"98","327122",,6584,162
"98","327124",,3797,40
"98","32731/",,16905,85
"98","327310",,16905,85
"98","327331",,19642,427
"98","32742/",,12611,152
"98","327420",,12611,152
"98","3311//",,126969,727
"98","33111/",,126969,727
"98","3312//",,58699,334
"98","33121/",,25191,66
"98","331210",,25191,66
"98","33122/",,33508,268
"98","331221",,13962,114
"98","331222",,19546,154
"98","3313//",,68535,205
"98","33131/",,68535,205
"98","331314",,8364,46
"98","331315",,13715,37
"98","331316",,25005,29
"98","3314//",,64203,481
"98","33141/",,11273,122
"98","331411",,2865,9
